rfq_id,client,dealer,pair,rfq_time,side,size,market_mid,dealer_quote,latency_ms,client_exec_price
RFQ0001,CLT001,DLR01,EURUSD,2025-12-18 09:00:01,BUY,5000000,1.08500,1.08512,120,1.08512
RFQ0002,CLT002,DLR02,USDJPY,2025-12-18 09:00:05,SELL,7000000,145.010,144.998,850,144.998
RFQ0003,CLT003,DLR03,GBPUSD,2025-12-18 09:00:10,BUY,4000000,1.26500,1.26518,1400,1.26518
RFQ0004,CLT004,DLR01,AUDUSD,2025-12-18 09:00:15,SELL,9000000,0.66520,0.66505,90,0.66505
RFQ0005,CLT005,DLR02,EURUSD,2025-12-18 09:00:20,BUY,12000000,1.08510,1.08525,1100,1.08525
RFQ0006,CLT006,DLR03,USDJPY,2025-12-18 09:00:25,BUY,6000000,145.020,145.035,130,145.035
RFQ0007,CLT007,DLR01,GBPUSD,2025-12-18 09:00:30,SELL,3000000,1.26480,1.26460,1000,1.26460
RFQ0008,CLT008,DLR02,AUDUSD,2025-12-18 09:00:35,BUY,8000000,0.66500,0.66522,1500,0.66522
RFQ0009,CLT009,DLR03,EURUSD,2025-12-18 09:00:40,SELL,7000000,1.08530,1.08510,95,1.08510
RFQ0010,CLT010,DLR01,USDJPY,2025-12-18 09:00:45,BUY,5000000,145.050,145.065,1600,145.065
RFQ0011,CLT011,DLR02,GBPUSD,2025-12-18 09:00:50,BUY,4500000,1.26520,1.26540,200,1.26540
RFQ0012,CLT012,DLR03,AUDUSD,2025-12-18 09:00:55,SELL,6500000,0.66530,0.66505,1250,0.66505
RFQ0013,CLT013,DLR01,EURUSD,2025-12-18 09:01:00,BUY,10000000,1.08550,1.08575,1400,1.08575
RFQ0014,CLT014,DLR02,USDJPY,2025-12-18 09:01:05,SELL,9000000,145.080,145.060,110,145.060
RFQ0015,CLT015,DLR03,GBPUSD,2025-12-18 09:01:10,BUY,3500000,1.26550,1.26572,1700,1.26572
RFQ0016,CLT016,DLR01,AUDUSD,2025-12-18 09:01:15,SELL,8500000,0.66540,0.66510,80,0.66510
RFQ0017,CLT017,DLR02,EURUSD,2025-12-18 09:01:20,BUY,9500000,1.08580,1.08600,1450,1.08600
RFQ0018,CLT018,DLR03,USDJPY,2025-12-18 09:01:25,BUY,5000000,145.120,145.140,160,145.140
RFQ0019,CLT019,DLR01,GBPUSD,2025-12-18 09:01:30,SELL,6000000,1.26510,1.26485,900,1.26485
RFQ0020,CLT020,DLR02,AUDUSD,2025-12-18 09:01:35,BUY,7000000,0.66560,0.66590,1800,0.66590
RFQ0021,CLT021,DLR03,EURUSD,2025-12-18 09:01:40,BUY,11000000,1.08610,1.08630,1200,1.08630
RFQ0022,CLT022,DLR01,USDJPY,2025-12-18 09:01:45,SELL,7500000,145.150,145.130,100,145.130
RFQ0023,CLT023,DLR02,GBPUSD,2025-12-18 09:01:50,BUY,4000000,1.26580,1.26605,1550,1.26605
RFQ0024,CLT024,DLR03,AUDUSD,2025-12-18 09:01:55,SELL,5000000,0.66580,0.66545,900,0.66545
RFQ0025,CLT025,DLR01,EURUSD,2025-12-18 09:02:00,BUY,13000000,1.08630,1.08655,1400,1.08655
RFQ3001,CLT31,DLR01,EURUSD,2025-12-18 09:03:30,BUY,5000000,1.08500,1.08650,1500,1.08620
RFQ3002,CLT32,DLR02,USDJPY,2025-12-18 09:03:40,SELL,7000000,145.000,145.350,1300,145.300
RFQ3003,CLT33,DLR03,GBPUSD,2025-12-18 09:03:50,BUY,4000000,1.26500,1.26750,1800,1.26700
RFQ3004,CLT34,DLR01,AUDUSD,2025-12-18 09:04:00,SELL,9000000,0.66500,0.66780,1600,0.66720
RFQ3005,CLT35,DLR02,EURUSD,2025-12-18 09:04:10,BUY,6000000,1.08520,1.08522,300,1.08518
RFQ3006,CLT36,DLR03,USDJPY,2025-12-18 09:04:20,BUY,8000000,145.050,145.060,200,145.055


